Unit,Section,Num,POS,English,Chinese
8,Vocabulary,19,n.,pride,骄傲
8,Vocabulary,20,v.,compete,竞争
8,Vocabulary,20,n.,competition,竞争
8,Vocabulary,20,n.,competitor,竞争者
8,Phrases,1,,look for,寻找
8,Phrases,2,,fix... on,集中
8,Phrases,3,,(be) accused of...,被控告
8,Phrases,4,,be proud of,为……感到骄傲
8,Phrases,5,,a set of,一套；一系列
8,Phrases,6,,search through,搜遍，查遍
8,Phrases,7,,at last,最终，终于
8,Phrases,8,,hold out,递出
8,Phrases,9,,under the name (of),以……假名
8,Phrases,10,,(be) tired of,对……感到厌倦
8,Phrases,11,,(be) certain about,对……确定，有把握
8,Phrases,12,,pass by,路过
8,Phrases,13,,prepare for sth.,为某事做准备
8,Phrases,14,,be deeply moved,被深深地感动
8,Phrases,15,,on special days,在特殊的日子
8,Phrases,16,,(be) worried about,对……感到担忧
8,Phrases,17,,(be) strict with sb.,对某人要求严格
8,Phrases,18,,decide on sth.,决定某事
8,Phrases,19,,support one's family,养家
8,Phrases,20,,(be) bored with,对……感到厌烦
8,Phrases,21,,in prison,坐牢
8,Phrases,22,,(be) happy with,对……满意
8,Sentences,1,,She could not afford a present so she sat down and cried.,她买不起一份礼物就坐下来哭泣。
8,Sentences,2,,Jim and Della had two possessions which they were both proud of.,Jim和Della有两个他们引以为豪的财产。
8,Sentences,3,,The police searched through the town looking for the missing boy.,警察在镇上到处搜寻那个失踪的男孩。
8,Sentences,4,,It is impolite to talk to the elder that way.,用那种方式跟长辈说话是不礼貌的。
8,Sentences,5,,There was an expression in her eyes that he could not read.,她眼神里有他看不懂的表情。
